"","County","total_pop2019","pop2019_12_plus"
"1","Arkansas",17486,14786
"2","Ashley",19657,16780
"3","Baxter",41932,37221
"4","Benton",279141,231247
"5","Boone",37432,31850
"6","Bradley",10763,9068
"7","Calhoun",5189,4546
"8","Carroll",28380,24422
"9","Chicot",10118,8680
"10","Clark",22320,19472
"11","Clay",14551,12543
"12","Cleburne",24919,21965
"13","Cleveland",7956,6927
"14","Columbia",23457,20211
"15","Conway",20846,17726
"16","Craighead",110332,91830
"17","Crawford",63257,53333
"18","Crittenden",47955,39319
"19","Cross",16419,13912
"20","Dallas",7009,6069
"21","Desha",11361,9520
"22","Drew",18219,15607
"23","Faulkner",126007,107247
"24","Franklin",17715,15200
"25","Fulton",12477,10804
"26","Garland",99386,86444
"27","Grant",18265,15720
"28","Greene",45325,38118
"29","Hempstead",21532,17816
"30","Hot Spring",33771,29427
"31","Howard",13202,10888
"32","Independence",37825,31722
"33","Izard",13629,12084
"34","Jackson",16719,14500
"35","Jefferson",66824,57304
"36","Johnson",26578,22287
"37","Lafayette",6624,5854
"38","Lawrence",16406,14051
"39","Lee",8857,7777
"40","Lincoln",13024,11689
"41","Little River",12259,10486
"42","Logan",21466,18547
"43","Lonoke",73309,61242
"44","Madison",16576,14093
"45","Marion",16694,14723
"46","Miller",43257,36531
"47","Mississippi",40651,33683
"48","Monroe",6701,5758
"49","Montgomery",8986,7929
"50","Nevada",8252,7050
"51","Newton",7753,6827
"52","Ouachita",23382,20023
"53","Perry",10455,8917
"54","Phillips",17782,14714
"55","Pike",10718,9246
"56","Poinsett",23528,19810
"57","Polk",19964,17073
"58","Pope",64072,54387
"59","Prairie",8062,6949
"60","Pulaski",391911,330989
"61","Randolph",17958,15146
"62","Saline",122437,104254
"63","Scott",10281,8746
"64","Searcy",7881,6887
"65","Sebastian",127827,107538
"66","Sevier",17007,13767
"67","Sharp",17442,15166
"68","St. Francis",24994,21496
"69","Stone",12506,10998
"70","Union",38682,32555
"71","Van Buren",16545,14547
"72","Washington",239187,200760
"73","White",78753,67007
"74","Woodruff",6320,5426
"75","Yell",21341,18012
